City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
106,Tuatapere,NZ,53.82,moderate rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
107,Nishihara,JP,60.08,broken clouds,26.1842,127.7558,Minshuku Agaihama
108,Caucasia,CO,88.57,broken clouds,7.9865,-75.1935,Hotel San Rafael
109,Marawi,PH,66.65,overcast clouds,7.9986,124.2928,Derogongan Residence
110,Mount Pleasant,US,73.54,clear sky,32.7941,-79.8626,Best Western Patriots Point
111,Arraial Do Cabo,BR,75.52,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
112,Sur,OM,68.86,clear sky,22.5667,59.5289,Sur Plaza Hotel
113,Isiro,CD,71.58,overcast clouds,2.7739,27.616,Guest House Hewa Bora
115,Ilebo,CD,67.68,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
116,Morondava,MG,80.96,clear sky,-20.2833,44.2833,La Case Bambou
117,Port Blair,IN,73.76,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
121,Mar Del Plata,AR,73.42,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
122,Adrar,MR,65.48,clear sky,20.5022,-10.0711,
123,Mlandizi,TZ,75.06,broken clouds,-6.7,38.7333,Amazon Lodge..
125,Lucapa,AO,63.79,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
126,Busselton,AU,78.04,scattered clouds,-33.65,115.3333,Observatory Guest House
127,Joao Pinheiro,BR,73.33,moderate rain,-17.7425,-46.1725,Hotel Santos
128,Butaritari,KI,81.61,light rain,3.0707,172.7902,Isles Sunset Lodge
129,Cabo San Lucas,MX,73.94,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
131,Ixtapa,MX,74.43,broken clouds,20.7,-105.2,Hotel Plaza Providencia
132,Kundiawa,PG,64.96,overcast clouds,-6.0167,144.9667,Pari
133,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
134,Ponta Do Sol,PT,67.01,scattered clouds,32.6667,-17.1,Hotel do Campo
135,Vao,NC,79.43,light rain,-22.6667,167.4833,Hotel Kou-Bugny
137,Buritizeiro,BR,75.29,overcast clouds,-17.3511,-44.9622,Santos Palace Hotel
138,Saint-Pierre,RE,80.24,very heavy rain,-21.3393,55.4781,Lindsey Hôtel
139,Murud,IN,69.1,scattered clouds,18.3258,72.965,On Point Plaza
141,Choma,ZM,64.18,broken clouds,-16.8065,26.9531,Kamuboola Lodge
142,Kruisfontein,ZA,64.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
144,Antofagasta,CL,73.22,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
146,Bilma,NE,57.79,clear sky,18.6853,12.9164,Expeditions Ténére voyages
151,Manga,BF,74.82,clear sky,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
152,Visnes,NO,47.57,broken clouds,59.3556,5.2242,Park Inn Haugesund Airport
153,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
154,Den Helder,NL,46.38,overcast clouds,52.9599,4.7593,Hotel Den Helder
156,Pafos,CY,51.58,thunderstorm with rain,34.7667,32.4167,Elysium Hotel
157,Acapulco,MX,84.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
158,Noumea,NC,78.78,light rain,-22.2763,166.4572,Hôtel Le Lagon
160,Neiafu,TO,81.28,light intensity shower rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
