City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mahebourg,MU,2022-02-02 02:59:02,-20.4081,57.7,81.25,94,75,26.46
68,Bilibino,RU,2022-02-02 02:59:02,68.0546,166.4372,5.59,59,100,6.53
69,Faanui,PF,2022-02-02 02:54:11,-16.4833,-151.75,81.12,76,10,19.53
70,Roald,NO,2022-02-02 02:59:02,62.5833,6.1333,36.0,93,75,17.27
71,Ponta Do Sol,PT,2022-02-02 02:54:19,32.6667,-17.1,66.0,78,100,13.11
72,Nizwa,OM,2022-02-02 02:58:13,22.9333,57.5333,65.1,30,16,2.26
73,Malanje,AO,2022-02-02 02:59:03,-9.5402,16.341,60.51,97,83,3.8
74,Pimenta Bueno,BR,2022-02-02 02:59:03,-11.6725,-61.1936,71.53,95,62,1.36
75,Kodiak,US,2022-02-02 02:59:03,57.79,-152.4072,35.71,98,100,8.39
76,Talara,PE,2022-02-02 02:59:04,-4.5772,-81.2719,72.12,81,24,8.16
77,Sao Filipe,CV,2022-02-02 02:59:04,14.8961,-24.4956,72.95,78,10,13.89
78,Akureyri,IS,2022-02-02 02:59:05,65.6835,-18.0878,8.53,92,0,3.44
79,Luba,GQ,2022-02-02 02:59:05,3.4568,8.5547,76.89,80,34,5.61
80,Hermanus,ZA,2022-02-02 02:59:05,-34.4187,19.2345,67.89,85,2,4.45
81,Inta,RU,2022-02-02 02:59:06,66.0317,60.1659,2.8,84,98,8.57
82,Okhotsk,RU,2022-02-02 02:59:06,59.3833,143.3,2.19,76,15,17.52
83,Flinders,AU,2022-02-02 02:59:06,-34.5833,150.8552,71.2,79,100,12.86
84,Victoria,HK,2022-02-02 02:56:59,22.2855,114.1577,61.25,90,100,3.0
85,Harper,LR,2022-02-02 02:59:07,4.375,-7.7169,78.1,81,100,3.13
86,Kharan,PK,2022-02-02 02:59:07,28.5833,65.4167,58.42,30,2,1.7
87,Port-Cartier,CA,2022-02-02 02:59:08,50.0334,-66.8654,1.74,92,100,2.51
88,Cape Town,ZA,2022-02-02 02:55:28,-33.9258,18.4232,68.11,84,75,1.99
89,Catamarca,AR,2022-02-02 02:59:08,-28.4696,-65.7852,85.77,43,100,3.0
90,Hamilton,US,2022-02-02 02:56:38,39.1834,-84.5333,49.41,58,99,8.23
91,Port Blair,IN,2022-02-02 02:59:09,11.6667,92.75,78.84,78,20,2.3
92,Samarai,PG,2022-02-02 03:00:13,-10.6167,150.6667,84.2,69,100,9.42
93,Fereydun Kenar,IR,2022-02-02 03:00:15,36.6864,52.5225,49.5,57,0,7.36
94,Nokaneng,BW,2022-02-02 03:00:17,-19.6667,22.2667,66.96,91,67,6.2
95,Severomuysk,RU,2022-02-02 03:00:19,56.1481,113.4267,-15.66,96,75,4.21
96,Marienburg,PL,2022-02-02 02:58:06,54.0359,19.0266,35.89,98,100,10.51
97,Asau,RO,2022-02-02 03:00:21,46.4333,26.4,25.75,91,91,6.04
98,Upernavik,GL,2022-02-02 03:00:21,72.7868,-56.1549,-13.68,74,100,5.57
99,Curup,ID,2022-02-02 03:00:22,-3.4667,102.5333,68.58,90,100,1.7
100,Chuy,UY,2022-02-02 03:00:23,-33.6971,-53.4616,62.06,77,0,6.67
101,Dromolaxia,CY,2022-02-02 03:00:23,34.8761,33.586,59.67,72,40,9.22
102,Viedma,AR,2022-02-02 03:00:24,-40.8135,-62.9967,68.67,55,100,15.12
103,Belmonte,BR,2022-02-02 03:00:25,-15.8631,-38.8828,78.39,84,5,6.87
104,Cap Malheureux,MU,2022-02-02 03:00:26,-19.9842,57.6142,81.46,81,100,18.01
105,Hobart,AU,2022-02-02 02:59:34,-42.8794,147.3294,64.26,39,75,6.91
106,Thoen,TH,2022-02-02 03:00:26,17.6129,99.2161,84.56,25,11,1.61
107,Stornoway,GB,2022-02-02 03:00:27,58.2093,-6.3865,43.93,91,75,1.99
108,Lasa,IT,2022-02-02 03:00:27,46.6166,10.7002,38.14,93,100,9.04
109,Zhigansk,RU,2022-02-02 03:00:28,66.7697,123.3711,-25.1,98,87,8.39
110,Saskylakh,RU,2022-02-02 03:00:28,71.9167,114.0833,-28.57,100,44,1.88
111,Vao,NC,2022-02-02 03:00:29,-22.6667,167.4833,78.42,84,92,19.3
112,Saint-Francois,FR,2022-02-02 03:00:29,46.4154,3.9054,45.68,99,100,8.05
113,Yangjiang,CN,2022-02-02 03:00:30,21.85,111.9667,54.95,87,100,10.25
114,Gazojak,TM,2022-02-02 03:00:31,41.1875,61.4036,33.28,80,24,8.46
115,Tiksi,RU,2022-02-02 03:00:31,71.6872,128.8694,-8.73,96,100,7.58
116,Tomatlan,MX,2022-02-02 02:58:07,19.9333,-105.25,63.64,77,0,2.46
117,Severo-Kurilsk,RU,2022-02-02 03:00:32,50.6789,156.125,31.17,74,100,10.96
118,New Norfolk,AU,2022-02-02 03:00:33,-42.7826,147.0587,63.9,42,83,3.0
119,Provideniya,RU,2022-02-02 02:55:48,64.3833,-173.3,15.91,62,20,29.08
120,Codrington,AU,2022-02-02 02:58:12,-38.2667,141.9667,61.11,53,100,14.18
121,San Patricio,US,2022-02-02 03:00:33,28.017,-97.5169,61.84,82,13,7.63
122,Yuli,NG,2022-02-02 03:00:34,9.6989,10.2744,61.48,23,2,5.82
123,Chokurdakh,RU,2022-02-02 03:00:34,70.6333,147.9167,-8.91,94,100,7.0
124,Busselton,AU,2022-02-02 03:00:35,-33.65,115.3333,79.05,36,48,12.91
125,Caravelas,BR,2022-02-02 03:00:35,-17.7125,-39.2481,76.55,94,75,7.45
126,Nadym,RU,2022-02-02 03:00:36,65.5333,72.5167,-15.79,100,81,7.65
127,Aklavik,CA,2022-02-02 02:56:40,68.2191,-135.0107,-15.77,100,96,4.27
128,Fort Frances,CA,2022-02-02 03:00:36,48.5999,-93.4003,0.05,79,100,5.99
129,Buchanan,LR,2022-02-02 03:00:37,5.8808,-10.0467,77.81,84,98,3.04
130,Bemidji,US,2022-02-02 03:00:37,47.4736,-94.8803,0.91,78,0,19.57
131,Itaituba,BR,2022-02-02 03:00:38,-4.2761,-55.9836,74.8,84,92,2.04
132,Esperance,AU,2022-02-02 03:00:38,-33.8667,121.9,71.17,46,21,19.24
133,Bani Walid,LY,2022-02-02 03:00:39,31.7566,13.9942,47.12,67,7,18.75
134,Lagoa,PT,2022-02-02 03:00:39,39.05,-27.9833,58.93,72,11,14.27
135,Chapleau,CA,2022-02-02 03:00:11,47.8405,-83.4034,21.72,87,100,14.74
136,Daru,PG,2022-02-02 03:01:40,-9.0763,143.2092,74.59,91,100,11.1
137,Puerto Ayora,EC,2022-02-02 03:01:10,-0.7393,-90.3518,74.55,96,100,5.01
138,Inirida,CO,2022-02-02 03:01:40,3.8653,-67.9239,76.23,63,25,0.47
139,Kamina,CD,2022-02-02 03:01:40,-8.7386,24.9906,64.54,98,100,3.38
140,Redlands,US,2022-02-02 02:59:13,34.0556,-117.1825,56.26,66,2,7.34
141,Andenes,NO,2022-02-02 03:01:41,69.3143,16.1194,24.78,58,77,16.11
142,Kula,TR,2022-02-02 03:01:41,38.5473,28.6498,39.67,86,100,14.0
143,Mount Isa,AU,2022-02-02 03:01:42,-20.7333,139.5,91.17,49,100,10.36
